,primary_title,rating
0,Dark Phoenix,22%
1,Spectre,50%
2,The Dark Knight Rises,87%
3,The Lone Ranger,30%
4,John Carter,52%
5,Tangled,89%
6,The Fate of the Furious,67%
7,Battleship,34%
8,Jurassic World,71%
9,Black Panther,48%
10,Titanic,89%
11,Incredibles 2,93%
12,Rogue One,84%
13,Finding Dory,94%
14,Toy Story 3,98%
15,Skyfall,92%
16,Monsters University,80%
17,Oz the Great and Powerful,57%
18,Cars 2,39%
19,Green Lantern,26%
20,Jack the Giant Slayer,52%
21,Star Trek Into Darkness,84%
22,World War Z,66%
23,The Great Gatsby,44%
24,The Good Dinosaur,76%
25,Star Trek Beyond,86%
26,Blade Runner 2049,88%
27,Aladdin,57%
28,Maleficent,54%
29,Fantastic Beasts and Where to Find Them,74%
30,The Legend of Tarzan,36%
31,Hugo,93%
32,Valerian and the City of a Thousand Planets,48%
33,Jupiter Ascending,27%
34,The Meg,46%
35,Edge of Tomorrow,91%
36,Captain Marvel,79%
37,Inside Out,37%
38,Suicide Squad,50%
39,Coco,15%
40,Cars 3,70%
41,Guardians of the Galaxy,91%
42,Iron Man 2,72%
43,Dawn of the Planet of the Apes,90%
44,Snow White and the Huntsman,49%
45,Dumbo,98%
46,Alice Through the Looking Glass,50%
47,Shrek Forever After,58%
48,Big Hero 6,89%
49,How to Train Your Dragon,99%
50,Interstellar,72%
51,Aquaman,65%
52,Inception,87%
53,Godzilla,15%
54,Warcraft,28%
55,Deepwater Horizon,83%
56,War for the Planet of the Apes,94%
57,Wonder Woman,82%
58,Frozen,56%
59,Zootopia,98%
60,Moana,86%
61,Dunkirk,71%
62,Thor,77%
63,Ready Player One,72%
64,Wrath of the Titans,40%
65,Dark Shadows,36%
66,White House Down,52%
67,Mars Needs Moms,37%
68,How to Train Your Dragon 2,91%
69,Tarzan,89%
70,Rise of the Guardians,75%
71,Ghostbusters,97%
72,Kung Fu Panda 3,87%
73,The BFG,65%
74,Gods of Egypt,16%
75,The Croods,71%
76,Rango,88%
77,Turbo,71%
78,Happy Feet Two,45%
79,The Nutcracker and the Four Realms,32%
80,War of the Worlds,75%
81,Penguins of Madagascar,73%
82,Mary Poppins Returns,79%
83,Megamind,72%
84,Rio 2,48%
85,Noah,76%
86,The Adventures of Tintin,74%
87,After Earth,11%
88,Fast Five,77%
89,Teenage Mutant Ninja Turtles,35%
90,The Boss Baby,53%
91,Clash of the Titans,68%
92,Trolls,76%
93,The Bourne Legacy,55%
94,Total Recall,82%
95,Jason Bourne,54%
96,Life of Pi,87%
97,Elysium,45%
98,Oblivion,28%
99,RoboCop,48%
100,Fantastic Four,27%
101,Knight and Day,52%
102,Ferdinand,72%
103,Deadpool 2,83%
104,Gravity,29%
105,San Andreas,50%
106,The Smurfs,21%
107,The Patriot,100%
108,The Smurfs 2,14%
109,Ghost in the Shell,96%
110,Ali,68%
